,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
BorussiaDortmund_6150,58,15,10,6,4,3,0,54,25,4,0,30,14,20,502,77
VfLWolfsburg_6150,40,19,13,5,4,9,2,45,16,2,4,28,5,33,299,63
Darmstadt_6150,30,10,6,3,2,5,1,35,18,1,1,42,7,22,273,58
FCKoln_6150,52,10,6,1,4,5,3,55,39,0,1,21,3,30,500,77
FSVMainz_6151,50,12,11,3,4,6,3,56,22,2,4,44,19,30,441,69
WerderBremen_6151,47,14,8,5,3,6,3,38,15,3,0,24,6,16,458,80
RBLeipzig_6163,43,15,11,4,3,9,3,48,25,4,4,33,6,36,349,60
SCFreiburg_6164,65,21,24,11,6,5,3,43,25,2,7,25,10,30,519,80
Schalke_6164,57,16,19,4,13,5,2,48,29,0,2,21,9,32,478,75
HerthaBerlin_6164,59,16,10,4,4,3,1,38,20,3,2,11,4,15,568,84
FCKoln_6164,36,22,11,4,5,3,5,43,24,7,2,29,6,23,332,72
Ingolstadt_6164,57,15,15,7,5,11,4,71,42,4,3,29,5,31,382,68
BayernMunchen_6164,67,14,18,3,8,9,2,50,29,3,7,21,11,18,694,85
HamburgerSV_6165,40,25,14,4,8,6,2,41,23,3,2,42,12,17,323,69
EintrachtFrankfurt_6165,57,18,19,9,7,6,2,33,15,3,3,20,12,13,519,80
RBLeipzig_6170,48,16,16,7,5,5,3,44,24,2,4,19,14,18,452,80
VfLWolfsburg_6171,61,19,11,3,6,5,1,38,23,4,2,21,10,23,546,81
WerderBremen_6171,49,12,12,4,7,3,3,50,33,5,1,24,11,18,379,66
BorussiaDortmund_6171,68,13,12,5,5,5,3,44,22,2,2,21,15,28,603,80
