,possession,fouls,shots,shotsongoal,offtarget,cornerkicks,yellowcards,headtheball,headsuccess,saves,blocked,tackles,dribbles,throwins,pass,passsuccess
FCBarcelona_5765,43,8,14,9,4,7,1,18,15,6,1,33,12,14,423,82.26950354609929
Valencia_5765,45,18,6,3,2,6,3,28,11,3,1,27,8,21,393,79.13486005089058
RealBetis_5765,56,18,21,6,5,4,2,22,14,2,5,32,14,27,449,80.84632516703786
Villarreal_5766,39,10,12,3,7,7,3,25,10,2,2,23,3,11,310,69.03225806451613
RealSociedad_5766,57,14,11,1,5,5,8,33,18,1,5,37,12,28,534,80
Getafe_5766,46,18,14,7,5,5,2,20,10,3,2,28,8,19,380,80.0
DeportivoLaCoruna_5766,53,8,16,3,10,4,2,40,16,1,3,34,13,24,478,77.61506276150628
SportingGijon_5767,58,10,16,7,6,6,3,39,21,3,2,27,9,28,492,79.26829268292683
RayoVallecano_5771,67,15,13,7,3,6,4,25,17,3,3,24,8,31,542,83.94833948339483
CeltaVigo_5772,54,17,17,7,6,5,6,27,15,5,2,24,9,12,485,83.50515463917526
GranadaCF_5772,41,8,17,7,8,3,3,40,23,1,2,39,6,27,315,59.04761904761905
Sevilla_5772,57,18,22,13,8,7,1,20,8,0,1,21,17,5,456,88.15789473684211
Malaga_5772,49,11,9,4,3,3,0,32,12,1,2,26,9,33,419,73.9856801909308
Levante_5773,59,24,13,3,9,10,5,49,21,2,4,18,9,28,392,72
LasPalmas_5773,59,12,6,2,1,6,1,38,13,0,3,18,8,33,530,78.86792452830188
FCBarcelona_5773,67,14,14,5,8,6,3,27,15,4,1,22,12,20,584,85.27397260273973
AtleticoMadrid_5773,49,26,16,8,5,9,4,38,20,0,3,40,10,26,428,77.80373831775701
AthleticBilbao_5774,52,8,20,6,12,9,1,48,33,1,2,23,7,15,448,78
DeportivoLaCoruna_5778,46,4,7,3,4,1,2,29,21,2,0,41,12,30,459,79
RealMadrid_5779,52,12,17,11,6,6,0,10,3,4,None,28,6,22,595,88.57142857142857
Villarreal_5779,52,17,11,5,5,7,5,29,13,2,1,19,6,21,407,77.14987714987716
Valencia_5779,60,19,13,6,3,5,2,20,12,5,4,33,5,24,427,82
Getafe_5779,29,10,6,1,4,3,3,14,7,4,2,34,10,19,286,71.67832167832168
RealSociedad_5779,43,9,20,5,8,8,2,39,20,5,7,25,4,18,260,66
Eibar_5780,38,17,12,1,9,2,2,51,29,2,2,24,6,32,288,56
RCDEspanyol_5780,57,16,10,4,5,5,3,39,21,4,1,27,11,25,365,70.95890410958904
SportingGijon_5780,36,11,8,6,2,7,1,36,13,5,0,29,7,17,295,66.10169491525424
RealBetis_5780,52,9,11,3,2,7,3,37,15,6,6,35,15,31,433,76.905311778291
LasPalmas_5785,43,17,8,4,3,0,1,36,13,6,1,31,8,26,400,76
CeltaVigo_5786,56,16,17,3,8,15,1,27,11,0,6,19,13,17,424,77
Levante_5786,54,13,15,5,6,9,4,45,24,4,4,17,2,35,434,74
