,BallPossession,ShotsonGoal,ShotsoffGoal,BlockedShots,FreeKicks,CornerKicks,Offsides,Throw-in,GoalkeeperSaves,Fouls
CeltaVigo_5373,61,1,0,0,9,0,0,11,2,7
Malaga_5373,70,0,3,0,8,0,0,12,1,7
Almeria_5374,42,1,3,2,11,1,1,4,3,5
RayoVallecano_5374,59,3,4,3,6,4,2,17,2,8
Sevilla_5374,36,3,1,0,5,2,1,7,0,15
Barcelona_5374,78,3,6,2,7,6,0,9,2,6
Valencia_5375,48,2,1,2,14,1,1,10,3,7
Elche_5376,29,2,0,1,9,1,0,4,4,10
Dep._5376,46,0,0,1,9,2,0,18,0,10
AthBilbao_5377,46,1,1,1,7,0,0,16,0,9
Villarreal_5377,61,0,3,1,7,5,0,17,2,8
Atl._5377,69,4,4,0,5,6,1,10,1,9
RealSociedad_5377,46,0,3,2,4,3,1,16,2,1
Barcelona_5377,73,0,3,2,9,2,1,5,1,5
Levante_5377,42,1,2,0,9,2,2,14,0,6
Getafe_5378,54,1,1,0,9,1,2,13,1,9
Cordoba_5378,43,1,0,1,5,3,0,17,2,10
CeltaVigo_5379,59,2,4,1,6,0,0,9,1,6
RealMadrid_5380,52,3,3,1,7,5,0,6,3,5
GranadaCF_5380,25,1,4,1,7,1,3,10,1,3
Sevilla_5380,46,0,0,0,9,0,0,12,1,8
RayoVallecano_5380,59,5,0,1,12,2,2,11,0,9
Eibar_5380,28,2,3,1,8,1,1,14,0,12
Malaga_5381,56,0,2,3,8,1,0,22,2,6
Almeria_5381,37,3,4,0,7,2,1,8,0,8
Valencia_5381,45,1,0,0,11,1,0,7,4,8
Espanyol_5381,45,1,0,0,8,4,2,13,0,12
Cordoba_5386,43,0,2,0,7,1,0,15,1,5
Atl._5387,55,4,3,2,6,3,1,9,0,6
Barcelona_5387,59,3,1,0,11,1,6,11,2,2
Levante_5387,40,4,2,2,4,3,0,11,2,9
GranadaCF_5387,37,1,0,0,10,1,3,11,0,7
Elche_5387,49,2,3,0,5,2,1,7,0,13
Dep._5388,46,2,0,0,11,0,1,5,1,4
Villarreal_5388,34,2,4,0,6,3,0,10,2,13
RealSociedad_5388,54,1,2,2,9,3,2,11,1,6
AthBilbao_5388,42,3,0,0,11,4,0,6,2,5
RayoVallecano_5400,56,1,1,0,12,4,1,14,0,10
RealMadrid_5401,66,3,4,3,10,3,2,6,1,3
CeltaVigo_5401,55,0,0,0,4,2,2,7,2,6
Eibar_5401,19,1,1,0,6,1,1,11,3,6
Malaga_5401,37,3,2,1,12,6,4,10,0,10
Espanyol_5402,34,1,0,1,11,0,0,6,5,7
Valencia_5402,53,0,1,1,8,1,1,7,1,10
Sevilla_5402,30,1,0,0,7,1,1,7,0,13
Almeria_5402,40,2,0,0,11,1,0,13,4,9
Getafe_5403,38,2,3,4,5,3,1,12,0,7
Levante_5407,25,0,1,0,7,0,0,6,0,6
AthBilbao_5408,58,0,1,1,5,2,0,15,1,8
Barcelona_5408,61,4,1,2,5,5,1,9,2,7
Elche_5408,45,2,2,2,7,3,0,15,1,10
